SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
100112,"STATE BANK OF INDIA",A,STK,816.05,816.05,816.05,812.15,816.05,803.95,1,1,816,
132822,"VODAFONE IDEA  LIMITED",A,STK,6.5,6.5,6.5,6.58,6.5,6.52,1,1,6,
500002,"ABB INDIA LIMITED",A,STK,5177.4,5209.7,5155,5188.25,5181.35,5146.5,812,5406,28060060,
500003,"AEGIS LOGISTICS LTD.",A,STK,688.8,704.3,686.1,701.8,700.55,691.45,483,10055,7026481,
500008,"Amara Raja Energy & Mobility L",A,STK,1013.1,1033,1001,1021.2,1020,1017.85,1823,37376,37950199,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,32.68,32.69,32.13,32.4,32.25,32.71,155,19522,633908,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,49.51,50.9,49.51,50.32,50.32,49.56,392,63445,3191549,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.1,5.17,4.98,5.1,5.13,5.07,25,11228,57448,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.45,5.54,5.1,5.32,5.36,5.45,128,26496,139819,
500016,"ARUNA HOTELS LTD.",X,STK,9.19,9.19,8.8,9.12,9.13,9.13,22,1240,11106,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,173.2,182,172.9,181.2,181.2,172.8,2380,177012,31692408,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,330.2,330.2,325.4,325.4,325.4,327.65,3,12,3957,
500027,"ATUL LTD.",A,STK,6424.45,6435.8,6363.6,6417.8,6421,6367.1,154,698,4477012,
500028,"ATV PROJECTS INDIA LTD.",X,STK,38.02,39.5,38,38.75,38.61,38.42,321,103131,4014871,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,573.1,584.35,570.15,575.15,573.2,572.25,777,10355,5980342,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21.31,21.75,21.1,21.53,21.53,21.23,5027,2287904,49094828,
500033,"FORCE MOTORS LTD.",A,STK,19649.95,20109.6,19466.95,19780.45,19770,19486.25,1724,5744,113678659,
500034,"BAJAJ FINANCE LIMITED",A,STK,896.85,898.8,880.05,896.5,896.5,890.45,6071,148427,132314383,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,570,570,557,559.5,559.5,566.7,1442,23677,13300661,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,596.2,642.7,589.9,630.75,630.75,596.45,4324,85350,53259915,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1817.6,1837.9,1807.1,1817,1829.2,1818,216,1171,2134149,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3735,3759,3631,3652.8,3640,3697.75,123,427,1562475,
500042,"BASF INDIA LTD.",A,STK,4645.25,4698.4,4634.2,4689.25,4698.4,4660.55,74,329,1538848,
500043,"BATA INDIA LTD.",A,STK,1168.5,1189.2,1144.9,1163.5,1178.35,1158.35,2020,20818,24272273,
500048,"BEML LTD.",A,STK,4098.95,4114.55,4042.6,4101.45,4101.45,4078.45,1887,11107,45391098,
500049,"BHARAT ELECTRONICS LTD.",A,STK,377.15,381.05,377.15,378.7,378.7,376.7,14576,1300244,491799632,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,106.95,107.65,106.5,107.3,107.3,106.35,161,10033,1074261,
500058,"BIHAR SPONGE IRON LTD.",XT,STK,13.98,13.98,13.16,13.41,13.52,13.54,69,37402,501995,
500059,"BIL VYAPAR LIMITED",T,STK,12.52,12.52,12.02,12.49,12.49,11.93,56,20074,248735,
500060,"Birla Cable Limited",T,STK,158.85,159.4,157.1,158.95,158.95,159.05,13,431,68493,
500067,"BLUE STAR LTD.",A,STK,1946,1968.95,1940.55,1960.25,1960.25,1938.7,1330,9428,18473066,
500068,"DISA INDIA LTD.",B,STK,13660,13749,13660,13719.6,13700,13606.35,16,16,219183,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,351,354.8,345.5,354.8,354.8,353.5,13,2568,898654,
