SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,11379,11499.99,11318,11455.18,11415,11230,269,3077050.71,03-Sep-2025,45,IN0020200104
SGBN28VIII,GB,11501.1,11950,11501.1,11915.14,11915,11488,462,5466398.92,03-Sep-2025,126,IN0020200286
SGBMAY29I,GB,11351,11637,11341,11521.09,11580,11246.04,1926,22082115.67,03-Sep-2025,174,IN0020210053
SGBJUN29II,GB,11375,11500,11361,11482.6,11499.99,11183.33,138,1580239.98,03-Sep-2025,50,IN0020210061
SGBJU29III,GB,11514,11525,11315.15,11519.38,11525,11250.83,381,4363257.08,03-Sep-2025,132,IN0020210087
SGBSEP29VI,GB,11362.93,11570,11362.93,11558.13,11560,11362.93,678,7818186.05,03-Sep-2025,87,IN0020210145
SGBNV29VII,GB,11399,11574,11366,11558.09,11569,11357.83,190,2176694.69,03-Sep-2025,53,IN0020210178
SGBOCT25,GB,11182,11366.2,11140,11245,11245,11142,88,989424.40,03-Sep-2025,37,IN0020170059
SGBOCT25IV,GB,11223.82,11355,11200,11289.99,11289.99,11179.8,39,438828.30,03-Sep-2025,11,IN0020170067
SGBOCT25V,GB,11100,11100,11100,11100,11100,11000,1,11100.00,03-Sep-2025,1,IN0020170075
SGBNOV25VI,GB,11241,11375,11241,11375,11375,11070,5,56607.00,03-Sep-2025,3,IN0020170083
SGBNOV25,GB,11299,11299,11299,11299,11299,11054,5,56495.00,03-Sep-2025,3,IN0020170091
SGBDEC25,GB,11600,11600,11499,11500,11500,12200,12,138099.00,03-Sep-2025,4,IN0020170125
SGBNOV25IX,GB,11050,11354,11050,11354,11354,10390,11,123628.80,03-Sep-2025,8,IN0020170117
SGBDEC2512,GB,11490,11490,11000,11355,11355,11490,15,167755.00,03-Sep-2025,9,IN0020170141
SGBDEC2513,GB,11344.6,11344.6,11344.6,11344.6,11344.6,11344.6,5,56723.00,03-Sep-2025,2,IN0020170158
SGBMAY26,GB,11545,12480,11358,11358,11358,11355,49,596324.97,03-Sep-2025,9,IN0020180033
SGBNOV26,GB,11499.99,11499.99,11499.99,11499.99,11499.99,11600,68,781999.32,03-Sep-2025,48,IN0020180314
SGBJAN26,GB,11400,11400,11400,11400,11400,11400,4,45600.00,03-Sep-2025,2,IN0020170166
SGBJUN27,GB,11380,11499,11380,11381,11381,11250,37,423155.80,03-Sep-2025,9,IN0020190073
SGBJUL27,GB,11380,11413,11300,11370.66,11360,11380,196,2219849.43,03-Sep-2025,25,IN0020190081
SGBAUG27,GB,11600,12080,11600,11986.66,11800,11403.37,161,1901073.04,03-Sep-2025,83,IN0020190107
SGBSEP27,GB,11382.19,11600,11299,11480,11480,11299,28,320595.14,03-Sep-2025,13,IN0020190115
SGBJAN27,GB,11271,11558,11180.03,11375,11375,11499.99,29,330959.08,03-Sep-2025,11,IN0020180462
SGBOCT27,GB,11250,11754,11250,11700,11700,11249.99,10,116116.00,03-Sep-2025,4,IN0020190370
SGBFEB27,GB,11790,11790,11790,11790,11790,11790,1,11790.00,03-Sep-2025,1,IN0020180561
SGBOCT27VI,GB,11300,11500,11300,11375,11375,11199.99,15,171114.59,03-Sep-2025,11,IN0020190388
SGBDC27VII,GB,11500,11940,11499,11700,11700,11212.05,36,424046.10,03-Sep-2025,13,IN0020190461
SGBAPR28I,GB,11749,11760,11650,11657.35,11699,11549.52,220,2574585.10,03-Sep-2025,66,IN0020200062
SGBMAY28,GB,11360,11490,11276.11,11478.83,11401,11195.68,592,6729583.18,03-Sep-2025,100,IN0020200088
SGBJUL28IV,GB,11172,11445,11172,11426.14,11440,11171.33,830,9440818.21,03-Sep-2025,110,IN0020200146
SGBAUG28V,GB,11398,11782,11300.04,11583.97,11511,11291.71,2868,33404425.15,03-Sep-2025,402,IN0020200161
SGBSEP28VI,GB,11299,11578.98,11299,11515.43,11575,11291.02,752,8623375.72,03-Sep-2025,96,IN0020200195
SGBOC28VII,GB,11300,11500,11300,11431.21,11425.02,11201.97,621,7116285.43,03-Sep-2025,72,IN0020200203
SGBJ28VIII,GB,11289,11488,11289,11480.66,11488,11289,465,5292176.60,03-Sep-2025,25,IN0020190537
SGBMAR28X,GB,11268.99,11904,11265,11535.76,11547.99,11268.99,310,3582630.20,03-Sep-2025,41,IN0020190552
SGBJUL29IV,GB,11260,11520,11255,11509.94,11420,11251.26,910,10422674.65,03-Sep-2025,93,IN0020210111
SGBJAN29IX,GB,11281,11496.19,11280,11486.5,11488,11215.36,143,1633434.53,03-Sep-2025,60,IN0020200377
SGBAUG29V,GB,11612,12100,11500,11960.9,12099.99,11500,449,5244504.38,03-Sep-2025,99,IN0020210129
SGBD29VIII,GB,11435,11749.99,11435,11583.33,11600,11431.19,655,7564438.71,03-Sep-2025,96,IN0020210228
SGBJAN29X,GB,11351,11538,11351,11499,11499,11230,120,1368816.16,03-Sep-2025,23,IN0020200385
SGBFEB29XI,GB,11300,11615,11300,11501,11501,11279.5,116,1326704.45,03-Sep-2025,35,IN0020200393
SGBMR29XII,GB,11274.88,11575,11274.88,11544.31,11500,11274.88,296,3398828.90,03-Sep-2025,73,IN0020200427
SGBJUN30,GB,11758,11870,11600,11671.99,11671,11743.5,1943,22772531.46,03-Sep-2025,181,IN0020220045
